title,text,label,type
กรมวิทย์ฯ เผยไทยยังไม่พบโควิด 19 สายพันธุ์ BQ.1.1 และสายพันธุ์ XBB,กรณีที่มีข่าวในต่างประเทศตรวจพบโอมิครอนกลายพันธุ์ตัวใหม่ ไม่ว่าจะเป็น  “BQ.1.1” และ “XBB” สามารถแพร่เชื้อได้เร็ว และดื้อภูมิคุ้มกันมากกว่าทุกสายพันธุ์นั้น ขอชี้แจงว่าจากข้อมูลการเฝ้าระวังการกลายพันธุ์ของเชื้อโควิด 19 กรมวิทยาศาสตร์การแพทย์ร่วมกับเครือข่ายทั่วประเทศ ยังไม่มีรายงานการตรวจพบสายพันธุ์ดังกล่าวในประเทศไทย ซึ่งขณะนี้เชื้อโควิด 19 ที่แพร่ระบาดในประเทศไทยส่วนใหญ่เป็น “โอมิครอน” สายพันธุ์ย่อย BA.5,REAL,Covid-19
ผู้ประกันตนติดโควิด 19 สามารถเลือกรักษาระบบ Telemedicine ผ่าน 3 แอปฯ ได้แล้ว ,สปสช. ให้บริการผู้ป่วยโควิด 19 สิทธิหลักประกันสุขภาพ 30 บาท หรือสิทธิบัตรทอง และสิทธิพนักงานส่วนท้องถิ่น ผ่านระบบการแพทย์ทางไกล ร่วมกับ บริษัท กู๊ด ด็อกเตอร์ เทคโนโลยี (ประเทศไทย) ผู้ให้บริการแอปพลิเคชัน Good Doctor Technology,REAL,Covid-19
สธ. ปรับแนวทางรักษาโควิด 19 สำหรับผู้มีอาการเล็กน้อย เป็นกักตัวรักษา 5 วัน และเว้นระยะห่าง 5 วัน,แนวทางการรักษาโรคโควิด 19 ในผู้ป่วยที่มีอาการเล็กน้อย หรือไม่มีอาการด้วยรูปแบบ 5+5 คือ แยกกักรักษาที่บ้าน 5 วัน และสังเกตอาการโดยเข้มงวดมาตรการป้องกันตนเองอีก 5 วัน มีข้อมูลวิชาการรองรับ และไม่ได้เป็นการตัดสินใจเองของคนหนึ่งคนใด แต่เป็นการพิจารณาผ่านคณะกรรมการ ทั้งคณะกรรมการวิชาการ ศบค. ชุดเล็ก และศบค. ชุดใหญ่ ถือเป็นมติที่ชอบด้วยกฎหมายและทางปฏิบัติ ซึ่งแนวทางการรักษาผู้ป่วยโควิด 19 มีการปรับปรุงมาอย่างต่อเนื่องตามสถานการณ์ ความรุนแรงของโรค ความพร้อมของการรักษาพยาบาล ยารักษาและการบริหารวัคซีนป้องกัน,REAL,Covid-19
ศูนย์ฉีดวัคซีนกลางบางซื่อ เปิดจองฉีดวัคซีนเข็ม 3 ไฟเซอร์เด็ก สำหรับเด็กเล็กอายุ 5-11 ปี,ศูนย์ฉีดวัคซีนกลางบางซื่อ จะเปิดจองคิวฉีดวัคซีนเข็มกระตุ้น เข็มที่ 3 ชนิดวัคซีนไฟเซอร์ (ฝาสีส้ม) สำหรับเด็กอายุ 5-11 ปี โดยได้รับเข็มที่ 2 มาแล้วอย่างน้อย 90 วัน ไม่จำกัดชนิดวัคซีน ในเข็มที่ 1 และ 2 เพื่อความสะดวก รวดเร็ว มาพร้อมผู้ปกครอง สามารถเข้าจุดฉีดวัคซีนได้เลย แต่สำหรับผู้ปกครองที่ไม่สะดวกจองคิวผ่านโทรศัพท์มือถือ,REAL,Covid-19
รพ. กทม. เปิดช่องทางลงทะเบียนรับยาผู้ป่วยโควิด 19 ทุกสิทธิการรักษา ผ่าน QR Code ,สำนักการแพทย์ กรุงเทพมหานคร เปิดช่องทางการลงทะเบียนรับยาผู้ป่วยโควิด 19 ผ่านทาง QR Code เพื่อความสะดวกรวดเร็วในการมารับยาที่โรงพยาบาลในสังกัดกรุงเทพมหานคร เพื่อลดความแออัด ลดการรอคอยในขณะที่มารับยาที่โรงพยาบาล สำหรับผู้ป่วยโควิด 19 ทุกสิทธิการรักษา,REAL,Covid-19
สธ. แนะนำให้ฉีดวัคซีนโควิด 19 พร้อมไข้หวัดใหญ่ได้ สามารถช่วยลดความเสี่ยงทั้ง 2 โรคช่วงฤดูฝน,ปลัดกระทรวงสาธารณสุข กล่าวว่า เนื่องจากขณะนี้เป็นช่วงฤดูฝน นอกจากโรคโควิด 19 ที่มีแนวโน้มการติดเชื้อเพิ่มขึ้นแล้ว ยังมีโอกาสติดเชื้อไวรัสไข้หวัดใหญ่เพิ่มมากขึ้นด้วย ซึ่งทั้ง 2 โรคเป็นโรคติดเชื้อระบบทางเดินหายใจเหมือนกัน มีอาการคล้ายกัน การใช้มาตรการป้องกันตนเองจากโรคโควิด 19 ได้แก่ การเว้นระยะห่าง ล้างมือ และสวมหน้ากากอนามัยเมื่ออยู่ร่วมกับผู้อื่น จะช่วยป้องกันการติดเชื้อไข้หวัดใหญ่ได้เช่นกัน รวมทั้งสามารถเพิ่มภูมิคุ้มกันต่อสู้กับเชื้อได้ด้วยการฉีดวัคซีน ทั้งวัคซีนโควิด 19 และวัคซีนไข้หวัดใหญ่ตามฤดูกาล,REAL,Covid-19
สธ. ลดกักตัวเหลือ 7 วัน และกลับมาทำงานได้โดยช่วง 3 วันแรก ใส่แมสก์ตลอดเวลา,กระทรวงสาธารณสุขเผยสถานการณ์โควิดพบ ผู้ป่วยปอดอักเสบ ใส่ท่อช่วยหายใจ และเสียชีวิตเพิ่มขึ้นเล็กน้อย อัตราครองเตียงสูงใน 4 จังหวัด แต่อัตราเสียชีวิตลดลงจากการฉีดวัคซีนกว่า 140 ล้านโดส พบช่วยเซฟชีวิตคนไทยไม่ให้ตายจากโควิดมากถึง 4.9 แสนคน ลดจำนวนผู้ป่วยรุนแรงและลดค่าใช้จ่ายการรักษาอาการหนัก ย้ำภูมิคุ้มกันลดลงตามเวลา ต้องฉีดกระตุ้น เผยแอนติบอดี LAAB ล็อตแรกกำลังจะเข้ามาและเตรียมอบรมการใช้ทั่วประเทศ,REAL,Covid-19
อย. อนุมัติใช้ยาฉีด Evusheld ป้องกันโควิด 19 สำหรับผู้ไม่สามารถรับวัคซีนได้ จริงหรือ,สำนักงานคณะกรรมการอาหารและยา (อย.) ได้อนุมัติขึ้นทะเบียนยา Evusheld ของบริษัท แอสตร้าเซนเนก้า จำกัด ภายใต้การอนุญาตแบบมีเงื่อนไขในสถานการณ์ฉุกเฉิน เมื่อวันที่ 27 มิถุนายน 2565 ซึ่งยา Evusheld เป็นยาในกลุ่มโมโนโคลนอลแอนติบอดี ที่ใช้เพื่อป้องกันโรคโควิด 19 แต่ไม่ได้ใช้สำหรับการรักษาแต่อย่างใด และไม่ได้นำมาใช้แทนที่การสร้างภูมิคุ้มกันจากการฉีดวัคซีน โดยยานี้สามารถใช้ได้ในกลุ่มผู้ใหญ่และวัยรุ่นที่มีอายุตั้งแต่ 12 ปีขึ้นไป ที่มีน้ำหนักตัวอย่างน้อย 40 กิโลกรัม,REAL,Covid-19
สธ. เพิ่มช่องทางรักษาโควิด 19 กลุ่มผู้ป่วยสีเขียว สแกนหรือโทร – แจก – จบ ,จากสถานการณ์ผู้ติดเชื้อรายใหม่ที่เพิ่มขึ้นในช่วงนี้ นายอนุทิน ชาญวีรกูล รองนายกรัฐมนตรีและรัฐมนตรีว่าการกระทรวงสาธารณสุข พร้อมด้วยดร.สาธิต ปิตุเตชะ รัฐมนตรีช่วยว่าการกระทรวงสาธารณสุข ได้มอบหมายให้กรมการแพทย์ประสานงานการบริหารจัดการการรักษาร่วมกับกรุงเทพมหานครและหน่วยงานเครือข่ายต่าง ๆ ได้แก่ โรงพยาบาลภาคีเครือข่าย UHosNeT กรุงเทพมหานคร กลาโหม โรงพยาบาลเอกชน ,REAL,Covid-19
อภ. จัดส่งยาฟาวิพิราเวียร์ จำนวน 25 ล้านเม็ด เพื่อรองรับการระบาดโรคโควิด 19,องค์การเภสัชกรรมได้มีการบริหารจัดการสำรอง “ยาฟาวิพิราเวียร์” (Favipiravir) เพื่อรองรับกับสถานการณ์การระบาดโรคโควิด 19 จำนวน 25 ล้านเม็ด โดยได้ดำเนินการจัดส่งกระจายตามการจัดสรรให้กับหน่วยบริการแม่ข่ายตามการจัดสรรของศูนย์ PHEOC อย่างต่อเนื่องทุกวันไม่เว้นวันหยุด หลังจากนั้นหน่วยงานแม่ข่ายจะทำการบริหารจัดการและกระจายให้แก่หน่วยบริการลูกข่ายในแต่ละพื้นที่ต่อไป  ,REAL,Covid-19
